customer_ID,password ,reward_points,phone_number,registraton_time
000067,923465,16454,13760424761,2007-04-20
000068,752304,8219,13743350984,2010-11-29
000069,737263,5344,13772951144,2008-01-12
000070,784034,14065,15122213717,2021-01-16
000071,498730,9743,13794257329,2008-03-19
000072,936533,1026,13778366748,2006-02-16
000073,667759,3943,13193349980,2011-04-22
000074,655173,15511,13532449527,2005-08-03
000075,564722,3946,13512753327,2018-09-30
000076,655279,2616,13112632387,2018-01-26
000077,372237,579,13575425012,2013-10-27
000078,325613,17486,15165369326,2010-07-19
000079,749524,6468,13512162096,2006-01-21
000080,991997,11476,15182367110,2016-08-09
000081,969915,4127,15198066469,2012-11-26
000082,462301,16328,13972612214,2022-12-12
000083,334889,5755,13595116827,2021-09-08
000084,577681,1816,15176820644,2019-01-24
000085,684525,19594,13923093537,2015-01-10
000086,840766,1848,15164233145,2014-07-28
000087,908717,10640,15127519404,2011-04-07
000088,987123,3223,13910270853,2020-12-22
000089,518604,19627,15183866363,2022-09-05
000090,593232,530,13130428282,2015-12-16
000091,455497,3676,15123121858,2021-05-18
000092,480017,4382,13981451612,2010-10-29
000093,157449,14516,13529974467,2009-03-01
000094,679877,7536,13920202335,2005-01-20
000095,387570,11956,13939252780,2011-09-12
000096,539724,15564,13718550184,2003-05-05
000097,367784,6628,15169457995,2019-03-02
000098,396747,12431,13512045328,2010-11-11
000099,448874,5289,13999769257,2019-03-25
000100,852187,8114,13773582711,2013-05-03
000101,654862,2006,13978018938,2010-04-24
000102,520715,5451,13962596258,2008-03-12
000103,332498,16384,15141362290,2019-05-31
000104,489009,9442,13558381094,2005-06-25
000105,810940,7199,13950664392,2015-12-26
000106,834545,7975,13581024675,2009-12-13
000107,560573,9,13156780721,2018-09-20
000108,519481,10024,13734978265,2015-09-14
000109,484023,9777,13545236882,2012-11-23
000110,837148,6945,13590624875,2018-07-10
000111,606326,3241,13564637989,2017-11-18
000112,882945,10310,13536563674,2021-05-02
000113,388046,10816,13784352731,2019-04-18
000114,230202,17145,13997741410,2021-12-28
000115,675639,5312,13513489870,2020-09-02
000116,166901,6022,13582497445,2011-05-05
000117,624002,3909,13995111754,2003-05-26
000118,979201,10779,15125223823,2008-12-21
000119,508414,5677,13115872491,2015-12-29
000120,520858,4841,15111673901,2004-02-09
000121,190086,16217,13984268328,2019-09-12
000122,604228,13996,13769904968,2015-02-05
000123,285933,6454,13947264627,2010-12-30
000124,187997,3588,13788498708,2010-12-02
000125,662672,17317,15120002046,2011-06-09
000126,863755,19374,13152687139,2016-12-05
000127,289297,12106,13189963631,2012-06-25
000128,927624,6259,13557532112,2021-08-11
000129,914264,14734,13723926341,2019-10-28
000130,259860,3351,13555710242,2006-08-07
000131,657439,1240,13793943281,2015-03-02
000132,529561,10464,13543759366,2022-12-17
000133,657831,1262,13984213086,2022-11-15
000134,944621,8155,15199400922,2003-08-01
000135,754736,16262,13727559420,2017-03-22
000136,261685,9246,13537706281,2018-09-14
000137,225398,5098,13729113399,2003-12-22
000138,678320,4315,13930934347,2020-12-19
000139,433844,18573,13936394921,2019-11-12
000140,849162,16146,13996624792,2011-12-14
000141,351258,4397,15118971524,2016-06-01
000142,755288,16941,13160868687,2005-09-09
000143,577380,13088,13724924004,2005-08-13
000144,872875,12720,13799827914,2006-02-19
000145,535918,14299,13182327448,2009-01-14
000146,214563,350,13188542605,2018-07-16
000147,307849,5056,13122363786,2020-07-26
000148,408731,7023,15199910973,2004-05-11
000149,751346,5716,13191901720,2012-09-25
000150,823985,6378,13953433679,2011-07-25
000151,569243,7472,13189541979,2012-08-07
000152,485309,17296,13793198151,2010-03-16
000153,288213,15461,15181740396,2008-06-20
000154,633778,12476,13170690432,2022-06-06
000155,871280,4385,13143933261,2010-10-08
000156,174123,2247,15116795233,2022-07-18
000157,226292,16019,13570648182,2006-04-17
000158,533316,6876,15140737138,2010-01-18
000159,186067,13915,13179634916,2018-12-09
000160,460055,16110,13197549152,2012-02-11
000161,890817,3129,13538288602,2018-08-23
000162,656339,1508,13739650869,2014-05-07
000163,512724,14464,15183971932,2018-08-03
000164,257868,10758,13175071200,2011-02-02
000165,199626,5530,13118187546,2016-08-10
000166,696407,2342,13996584304,2018-12-24
000167,513237,4191,13188508871,2011-12-16
000168,581339,4030,13541633585,2022-01-06
000169,540897,11474,13796250103,2019-05-17
000170,394976,13980,13770941284,2013-05-04
000171,419947,3416,15126761814,2010-09-08
000172,302289,19592,15168684012,2010-03-19
000173,687748,2854,15159256225,2022-01-05
000174,717955,14208,13794589592,2014-01-15
000175,491121,12920,13549933630,2014-06-17
000176,322910,14377,13976673770,2006-02-18
000177,807824,12320,15151648035,2010-01-03
000178,353690,10275,13596309908,2006-03-31
000179,748926,16062,13130054907,2014-06-12
000180,795192,9632,13137563929,2021-11-07
000181,548955,13495,15145960944,2003-05-25
000182,918101,17596,13598529863,2019-03-23
000183,178688,3388,13188300287,2020-09-28
000184,469518,19008,13568542324,2018-04-14
000185,496042,7204,15144483241,2005-04-09
000186,175630,11263,15151530102,2019-07-27
000187,704207,5812,13572534524,2019-11-16
000188,226066,5416,13786198794,2015-02-06
000189,547522,7907,13940052125,2017-03-25
000190,271207,17506,15116453141,2018-08-01
000191,399133,7390,15126719356,2015-12-23
000192,427866,7377,13577040481,2011-05-23
000193,488298,16501,15116271738,2022-08-15
000194,928076,2510,13758742321,2008-11-15
000195,800700,11479,13744606702,2023-01-09
000196,361021,12784,13783195385,2012-11-28
000197,733304,3495,13912202534,2008-07-31
000198,605516,9874,13784089264,2007-03-25
000199,364616,19440,13150005520,2020-10-21
000200,965882,4324,13727069232,2016-06-02
000201,998542,6509,13123999503,2020-02-03
000202,721529,18749,15113674033,2010-03-07
000203,680724,10313,13754868254,2004-03-03
000204,560489,3845,13588212660,2003-07-24
000205,553854,15282,13770512815,2005-03-25
000206,297606,15184,13933252943,2023-01-12
000207,833892,13678,13539818455,2019-07-09
000208,910949,12363,13753867481,2011-05-07
000209,984182,1399,15132823605,2021-07-23
000210,528229,11246,13777582380,2009-07-20
000211,660338,4992,13542777033,2011-12-19
000212,692506,1959,13147282708,2007-08-14
000213,177407,9856,13551337532,2014-05-22
000214,417019,640,13929276277,2009-03-26
000215,660249,9747,13182818946,2006-01-23
000216,256174,4343,15118297327,2010-02-07
000217,407480,664,13956546869,2004-03-11
000218,346138,1131,13968838619,2007-04-30
000219,465831,1881,13765951141,2022-10-10
000220,180099,19660,13748281010,2014-06-25
000221,425747,5843,13974042671,2010-03-14
000222,595993,13761,15157402953,2023-01-12
000223,412221,6125,15138417587,2015-05-28
000224,256312,12408,15173071220,2015-08-05
000225,946330,6013,13533708577,2012-03-03
000226,799928,2304,13596001145,2012-01-17
000227,184227,13634,13962468700,2015-03-17
000228,559410,1933,13957735088,2007-07-23
000229,448195,19469,13913009518,2015-07-30
000230,105674,15503,13192091841,2022-06-15
000231,899718,14704,13121977941,2012-01-01
000232,385891,7089,13123552947,2019-06-27
000233,474948,7395,13973197488,2017-08-22
000234,995310,6782,13135662654,2009-05-03
000235,838461,141,13786909928,2015-08-16
000236,143645,2628,15182811603,2017-07-26
000237,530190,8347,13981401743,2011-09-10
000238,821940,13734,15184096580,2020-01-29
000239,778084,15022,13945872802,2005-04-18
000240,361653,5297,13945595320,2011-11-25
000241,945761,5693,13951900747,2021-09-20
000242,292786,10483,13911224055,2021-06-18
000243,810876,15725,13784892382,2009-04-05
000244,678938,1285,13983688743,2018-10-20
000245,580808,16968,15181244346,2022-02-18
000246,936025,5346,13980949571,2021-12-09
000247,747161,11491,13197487003,2017-05-06
000248,641849,2580,15186347362,2008-11-28
000249,326895,657,13528346368,2009-05-12
000250,618735,19812,13174521484,2009-06-23
000251,254964,12972,15132696287,2013-11-22
000252,759209,6869,13713908248,2009-11-14
000253,587625,10203,13594139511,2007-05-18
000254,943854,3793,15160412990,2006-02-24
000255,330924,14546,13756371248,2018-11-27
000256,884189,12248,13171293751,2009-07-14
000257,844176,7187,13917170468,2020-07-17
000258,254137,13992,13733386785,2007-07-25
000259,420566,17378,13994980765,2012-03-03
000260,845394,13216,13576117053,2019-12-20
000261,849485,14198,13788003090,2018-03-07
000262,153030,8545,13720652430,2019-08-16
000263,985590,3871,15173836524,2020-07-06
000264,917256,2339,13723257725,2013-04-11
000265,217908,11708,13715574328,2009-02-08
000266,870030,9812,13161964576,2003-06-27
000267,498800,9715,13119805124,2019-01-10
000268,391763,16830,13518504667,2009-12-28
000269,189034,5106,15124491106,2005-01-19
000270,883945,8596,13545349819,2012-10-31
000271,596231,3009,13958263415,2008-04-07
000272,406270,7457,15148164510,2009-08-12
000273,225349,3007,13531789806,2012-09-10
000274,258662,8068,13736440188,2021-06-06
000275,331287,19810,13943936000,2013-08-11
000276,194695,7180,13191900642,2017-07-11
000277,605234,255,15121798066,2019-05-13
000278,280007,1039,15112197335,2014-09-07
000279,789459,9382,15158969603,2013-07-11
000280,498048,11597,13142454721,2018-06-10
000281,737930,9951,13137865768,2021-07-07
000282,657846,9030,13155026839,2003-09-15
000283,269651,2719,13913740252,2019-04-29
000284,507816,1119,15173070682,2018-01-11
000285,250491,3113,13174828978,2022-10-19
000286,281934,1786,13918554063,2008-09-14
000287,406369,15627,15158766075,2019-09-17
000288,899717,8097,13989866592,2010-06-07
000289,407779,6023,13559694128,2022-07-25
000290,759415,567,15113905124,2016-12-04
000291,420812,2420,15126527185,2017-05-02
000292,936090,5357,13529278925,2003-12-02
000293,104166,11573,13714485017,2020-11-20
000294,156054,15066,13569305339,2012-06-07
000295,941871,2584,13980969931,2016-04-09
000296,321373,10366,13944996566,2022-06-23
000297,740047,5801,13950127376,2010-01-19
000298,909409,1578,13940882813,2004-02-19
000299,263588,9847,13132867156,2006-02-24
000300,477662,11724,15142594658,2020-12-15
000301,442289,7409,13778953989,2010-05-30
000302,414849,12253,13998436361,2023-03-05
000303,349199,11612,13116619447,2008-03-14
000304,484746,11812,13977244948,2006-07-05
000305,681867,16242,15166219795,2019-02-12
000306,861889,19319,13525886301,2012-06-23
000307,159071,6871,13178831275,2016-04-27
000308,963777,12784,13547744684,2006-09-05
000309,180472,3172,13191463891,2019-11-28
000310,552339,7515,13181419444,2015-05-01
000311,227798,8321,13146673321,2004-12-30
000312,569889,13420,13525668204,2008-04-11
000313,286568,12910,13520113733,2018-02-04
000314,795222,18832,13558960539,2022-05-02
000315,587799,7546,13924501014,2006-02-20
000316,647738,18821,13556028434,2019-05-07
000317,881959,14672,13584412359,2016-03-03
000318,591859,17260,13758243035,2017-08-03
000319,758856,5595,13925748159,2019-03-28
000320,369458,6868,15111743100,2008-11-14
000321,321430,2023,13914622810,2019-09-21
000322,506605,16900,13720726384,2003-11-12
000323,556100,14897,13532831098,2005-08-29
000324,142715,469,13173001963,2014-01-20
000325,732665,18581,13769357825,2016-03-03
000326,501838,18705,13173271825,2003-09-30
000327,383027,8718,13169859138,2012-06-26
000328,798484,2755,13781174289,2012-06-21
000329,741890,11825,15198233657,2015-02-11
000330,968907,15680,13776702356,2011-02-20
000331,584895,15238,13175299998,2004-08-21
000332,863299,6575,13585278553,2003-06-10
000333,478564,19622,13920715212,2018-05-21
000334,598135,2526,13169138591,2018-10-19
000335,494718,17509,13189930402,2017-11-18
000336,879284,5460,13981289795,2011-09-01
000337,867706,17557,13119093208,2008-05-11
000338,452307,2527,13561050064,2011-10-19
000339,330282,8763,13144092829,2015-01-14
000340,906763,8433,15115495907,2019-05-24
000341,191346,17887,13176435875,2003-07-19
000342,569290,575,13593046439,2012-06-05
000343,764163,12303,13174609253,2018-02-15
000344,135626,7136,13150866931,2012-02-13
000345,815331,5865,13181213288,2009-06-30
000346,409417,3406,13191612263,2006-12-07
000347,471276,17477,13943574729,2017-03-26
000348,726958,2842,13984377361,2018-02-13
000349,727997,16570,15177728095,2007-10-28
000350,812927,487,13559936409,2007-09-02
000351,294993,540,15165045980,2015-06-12
000352,684411,16037,13964703097,2022-04-30
000353,452541,228,13537279911,2016-06-23
000354,238256,17549,13595106212,2012-04-14
000355,150801,7894,13778610683,2004-04-07
000356,334810,1291,13114996654,2015-05-14
000357,148044,13165,13964524542,2015-11-06
000358,253572,19046,13136014928,2007-02-17
000359,529197,10115,13175501278,2020-10-27
000360,883605,15175,13554977524,2018-07-27
000361,836626,7234,13742597468,2013-09-02
000362,758686,14904,13596334146,2012-03-29
000363,304597,115,13768489833,2014-10-01
000364,123918,14965,13583298309,2014-04-20
000365,841767,18435,13513657361,2012-03-09
000366,639331,8207,15133835394,2020-07-01
000367,217269,15684,13986182032,2011-01-18
000368,268431,1327,15164488655,2009-04-30
000369,643997,2452,13767613922,2005-12-07
000370,203086,7902,13597246510,2019-02-20
000371,961120,19463,13516368656,2009-03-16
000372,898023,1145,13788393286,2007-02-12
000373,216253,2608,13991596757,2005-01-21
000374,501847,14856,13933859854,2019-12-25
000375,186820,836,13952192999,2016-02-23
000376,922799,3027,13169367127,2004-08-01
000377,614069,6017,13944504158,2009-10-01
000378,188220,12856,13531957008,2006-06-04
000379,441822,10740,13747346797,2008-02-02
000380,705464,5665,13975714802,2003-08-13
000381,203495,8417,13196870878,2010-01-01
000382,566057,7503,13933175793,2011-03-16
000383,699747,11690,13130066239,2005-12-01
000384,856106,3933,13914420934,2019-01-07
000385,899805,8216,15118801753,2008-09-02
000386,716272,9526,13121942503,2010-01-11
000387,708641,11495,13599248424,2009-06-06
000388,607742,738,13780663173,2003-09-17
000389,941159,2035,13788842060,2020-10-31
000390,213274,12948,13588914488,2003-05-18
000391,128490,6326,15194930558,2015-11-02
000392,941531,19116,15139438086,2013-03-22
000393,492822,5186,13744892557,2004-08-28
000394,168800,16472,13554199358,2015-03-09
000395,454561,19161,13943039301,2021-08-04
000396,543332,184,13551902019,2006-12-28
000397,224911,13635,13112436158,2018-10-29
000398,180231,5778,15124198382,2008-05-11
000399,397033,17363,13779016927,2004-03-13
000400,120933,504,13522801844,2011-04-15
000401,249484,464,15178810300,2012-11-29
000402,604386,14899,13945698095,2022-10-31
000403,383016,10707,13720750676,2005-07-11
000404,291006,14383,15121434828,2009-06-03
000405,238595,16913,15164418887,2006-02-15
000406,782729,3102,15129934391,2007-01-21
000407,796474,14402,15139376345,2004-02-06
000408,224337,4842,13549848189,2022-04-18
000409,510866,8760,13596132109,2004-06-11
000410,550775,11035,15161134234,2015-11-28
000411,242453,14983,13125916801,2016-02-07
000412,301945,19130,13591873416,2006-08-01
000413,535573,7642,13172229263,2014-04-25
000414,957252,14146,15192754796,2019-12-05
000415,207412,19476,13735797876,2022-11-02
000416,901615,5197,13582951144,2020-06-12
000417,634940,12121,13579986110,2018-12-05
000418,285309,16479,13177949738,2004-12-04
000419,227457,13323,13522779948,2012-04-20
000420,904951,18651,13721780227,2009-01-19
000421,889831,2502,15185486696,2005-05-17
000422,920038,3473,13957619836,2006-11-04
000423,574681,16851,13550292495,2008-11-23
000424,756852,18214,13597425379,2013-01-07
000425,795099,8408,13125468302,2010-06-02
000426,885075,8374,13943840038,2017-09-12
000427,652326,8987,13928386242,2020-05-23
000428,320656,11168,13788373025,2006-02-20
000429,645126,19177,13554348716,2009-10-24
000430,603908,1171,13591586694,2022-03-22
000431,674261,8434,13742022448,2005-11-26
000432,231801,1431,15153478790,2022-11-16
000433,954987,1129,13112201492,2015-04-28
000434,391661,10201,13546595669,2021-12-16
000435,913745,3994,15192590870,2020-06-23
000436,958429,1158,13757688666,2005-05-31
000437,629009,18041,13591429318,2013-07-04
000438,290420,6590,13718776682,2020-06-15
000439,760006,2583,13512418223,2009-01-29
000440,467226,6907,13173356658,2014-10-18
000441,454873,14349,13165220072,2012-03-18
000442,531758,11398,13786002601,2010-03-29
000443,680886,1617,15169543427,2015-01-21
000444,400891,18263,15171016607,2016-03-28
000445,640789,16156,13551737119,2019-07-26
000446,180399,19511,15151307829,2022-09-07
000447,595782,6573,15183757693,2016-05-13
000448,332950,10227,13913823103,2020-08-15
000449,517312,986,15181472848,2014-08-14
000450,710234,9780,15148321919,2010-07-15
000451,924543,4737,13567716922,2013-11-23
000452,569606,19015,15145513185,2018-10-18
000453,494036,3247,13131595664,2018-05-20
000454,772234,8656,13148220893,2007-06-19
000455,435810,11846,13543921024,2003-10-20
000456,881904,6429,13942065187,2012-02-15
000457,398557,13968,13179720176,2013-06-02
000458,338904,12724,13182485620,2021-03-30
000459,290880,10526,13719451220,2008-05-29
000460,820150,9555,13977276154,2005-10-09
000461,136244,4145,13718593114,2014-05-29
000462,846210,10226,13156089359,2018-04-16
000463,574877,886,15176227831,2022-06-10
000464,537991,17124,13113837346,2007-03-17
000465,730935,3375,15168650099,2013-06-03
000466,594929,2146,13527693877,2014-03-20
000467,749529,381,15148582293,2012-01-15
000468,526637,13423,13922457577,2019-10-05
000469,674426,2006,13573751382,2010-11-25
000470,816980,14271,13520330253,2015-02-16
000471,665364,2858,13986524625,2007-02-20
000472,810424,14748,13722205590,2022-08-19
000473,377959,7381,13193407741,2013-07-29
000474,875028,3658,13531589355,2009-03-15
000475,299153,15546,13724318956,2012-12-02
000476,152106,8750,13581962693,2014-09-03
000477,430356,9915,13191268190,2005-08-16
000478,830209,14985,13718126667,2018-07-20
000479,171379,7211,15160499900,2015-08-27
000480,596739,17618,13188046738,2014-09-13
000481,901532,11690,13727698512,2022-05-06
000482,212645,4227,13776241769,2007-09-18
000483,522436,9064,13919780867,2016-04-09
000484,907696,16190,13541798508,2022-08-23
000485,680902,276,15176496716,2020-12-30
000486,809095,1168,13192586698,2005-11-12
000487,307553,7658,13536976720,2012-01-27
000488,183456,15166,13515213683,2019-10-25
000489,562847,13822,13743133551,2020-02-11
000490,630998,11470,13544028400,2008-07-30
000491,766474,17942,13195040967,2007-10-18
000492,760559,7323,13122852709,2003-09-25
000493,560320,7115,13958508483,2003-06-23
000494,531750,6014,13143109043,2004-12-24
000495,319777,4152,13566993553,2012-12-08
000496,310492,5909,13959599117,2022-04-03
000497,531537,4188,13520005276,2014-05-12
000498,630965,2527,13961933278,2015-03-16
000499,988012,17356,13996431804,2014-11-10
